                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6715,                 2.4514,                 1.3817,                0.70434,                 0.5233,                0.57926,                0.33192,                 1.3332,                 1.5509,                 1.3055,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.6058,                 1.6577,                 1.3276,                 0.6583,                0.62165,                0.64364,                 0.3644,                 1.3527,                  1.235,                 1.2798,              0.0065313,              0.0065313,              0.0065313
                      3,                 1.6436,                 1.5178,                 1.3548,                0.61895,                0.51476,                0.56824,                 0.3054,                  1.425,                 1.3463,                 1.3724,              0.0096007,              0.0096007,              0.0096007
                      4,                 1.6743,                 1.4269,                 1.3797,                0.63746,                0.59137,                0.62866,                0.34295,                 1.3795,                 1.0073,                 1.3009,               0.009406,               0.009406,               0.009406
                      5,                 1.6232,                 1.2957,                 1.3498,                0.68864,                 0.6605,                0.69948,                0.39844,                 1.3198,                0.89455,                 1.2839,               0.009208,               0.009208,               0.009208
                      6,                  1.585,                 1.2171,                 1.3325,                0.75249,                0.64709,                0.70879,                0.41786,                 1.3009,                0.85907,                 1.2703,                0.00901,                0.00901,                0.00901
                      7,                 1.5532,                 1.1662,                  1.312,                0.80906,                 0.6318,                0.71788,                0.41967,                 1.2617,                0.82974,                 1.2596,               0.008812,               0.008812,               0.008812
                      8,                 1.5302,                  1.113,                 1.2928,                0.75721,                0.69496,                0.75308,                0.44546,                 1.2633,                 0.7809,                  1.254,               0.008614,               0.008614,               0.008614
                      9,                  1.511,                  1.085,                 1.2854,                 0.7954,                0.69457,                0.76593,                0.46577,                 1.2097,                0.75797,                 1.2277,               0.008416,               0.008416,               0.008416
                     10,                 1.4839,                 1.0478,                 1.2689,                0.80037,                0.70323,                0.78091,                0.47599,                 1.1907,                0.72732,                 1.2264,               0.008218,               0.008218,               0.008218
                     11,                 1.4708,                 1.0235,                 1.2601,                0.78414,                0.73008,                0.77906,                0.47895,                 1.1837,                0.69169,                 1.1941,                0.00802,                0.00802,                0.00802
                     12,                 1.4647,                 1.0092,                 1.2569,                0.82141,                0.70275,                0.78489,                0.48911,                 1.1783,                0.69387,                 1.2006,               0.007822,               0.007822,               0.007822
                     13,                 1.4502,                0.98734,                 1.2514,                0.80598,                0.71411,                0.77679,                0.48988,                 1.1604,                0.67649,                 1.1803,               0.007624,               0.007624,               0.007624
                     14,                 1.4385,                0.96819,                 1.2422,                0.83692,                0.74095,                0.80583,                0.50722,                 1.1638,                0.66184,                 1.1897,               0.007426,               0.007426,               0.007426
                     15,                 1.4325,                0.95124,                  1.237,                 0.7826,                0.76428,                0.80426,                 0.5016,                 1.1496,                0.64798,                 1.1623,               0.007228,               0.007228,               0.007228
                     16,                 1.4238,                0.94253,                 1.2343,                0.79513,                0.74417,                0.81412,                0.51245,                 1.1337,                0.64237,                 1.1655,                0.00703,                0.00703,                0.00703
                     17,                 1.4129,                0.92319,                  1.227,                  0.805,                0.76863,                0.82019,                0.51808,                 1.1234,                0.61387,                  1.157,               0.006832,               0.006832,               0.006832
                     18,                 1.3988,                0.91286,                 1.2213,                0.84919,                0.77803,                 0.8355,                0.53132,                   1.12,                0.61114,                 1.1602,               0.006634,               0.006634,               0.006634
                     19,                  1.398,                0.90356,                 1.2139,                0.85501,                0.76313,                0.83092,                0.53417,                 1.1128,                0.58605,                 1.1469,               0.006436,               0.006436,               0.006436
                     20,                 1.3851,                0.88825,                 1.2084,                0.85156,                0.75101,                0.82912,                0.53792,                  1.115,                0.59403,                 1.1528,               0.006238,               0.006238,               0.006238
                     21,                 1.3726,                0.87732,                 1.2017,                0.83574,                 0.7624,                0.82554,                0.52992,                 1.1087,                0.58473,                 1.1479,                0.00604,                0.00604,                0.00604
                     22,                  1.376,                0.87369,                 1.2021,                 0.8552,                0.76125,                0.82576,                0.53913,                 1.0988,                0.57198,                 1.1398,               0.005842,               0.005842,               0.005842
                     23,                 1.3656,                0.85776,                 1.1985,                0.86896,                0.77867,                0.84964,                0.54582,                 1.0887,                0.55577,                 1.1357,               0.005644,               0.005644,               0.005644
                     24,                 1.3525,                0.84735,                  1.191,                0.84447,                0.77958,                0.84502,                0.55201,                 1.0864,                0.54911,                 1.1323,               0.005446,               0.005446,               0.005446
                     25,                 1.3559,                0.84939,                 1.1923,                0.85786,                0.78325,                0.84996,                0.55605,                 1.0741,                0.55105,                  1.124,               0.005248,               0.005248,               0.005248
                     26,                 1.3441,                0.83708,                 1.1863,                0.83604,                0.76985,                0.82611,                0.54516,                 1.0748,                0.54346,                 1.1251,                0.00505,                0.00505,                0.00505
                     27,                 1.3349,                0.82431,                 1.1808,                0.83876,                0.77856,                0.83414,                0.54906,                 1.0697,                0.53521,                 1.1207,               0.004852,               0.004852,               0.004852
                     28,                 1.3353,                0.82016,                 1.1807,                0.87112,                0.79563,                0.85241,                0.56012,                 1.0687,                0.53163,                 1.1188,               0.004654,               0.004654,               0.004654
                     29,                 1.3164,                0.80878,                 1.1731,                0.85149,                0.77705,                0.83228,                0.55439,                  1.066,                0.53053,                 1.1191,               0.004456,               0.004456,               0.004456
                     30,                 1.3259,                0.80778,                 1.1752,                0.85211,                0.80462,                0.84737,                0.56106,                 1.0584,                 0.5245,                 1.1105,               0.004258,               0.004258,               0.004258
                     31,                 1.3104,                0.79242,                 1.1666,                0.85836,                0.77916,                0.84645,                0.56139,                 1.0595,                0.52066,                 1.1153,                0.00406,                0.00406,                0.00406
                     32,                 1.3094,                0.79045,                 1.1663,                0.84433,                0.80055,                0.84091,                0.55954,                 1.0479,                0.51854,                 1.1072,               0.003862,               0.003862,               0.003862
                     33,                 1.3004,                0.78627,                 1.1654,                0.85857,                0.79021,                0.85235,                0.56473,                 1.0515,                0.51296,                   1.11,               0.003664,               0.003664,               0.003664
